Code,Name,Organiser,Year,Credits,Semester,Written Exam %,Coursework %,Practical Exam %
PGEE11243,Fire Science Laboratory (IMFSE),Dr Rory Hadden,pg,20.0,Semester 1,0,100,0
PGEE11190,"Resilience, Regulation & Certification (IDCORE)",Prof Philipp Thies,pg,10.0,Flexible,0,100,0
PGEE10008,Digital System Design (MSc),Dr Chang Liu,pg,10.0,Semester 2,100,0,0
PGEE11241,"Governance, Oversight, Assurance and Stakeholder Engagement (MSc)",Dr Simon Smith,pg,10.0,Semester 1,0,100,0
PGEE11136,Applications of Sensor and Imaging Systems,Dr Srinjoy Mitra,pg,10.0,Semester 2,0,100,0
PGEE10025,Chemical Reaction Engineering (MSc),Dr Harvey Huang,pg,10.0,Semester 1,100,0,0
PGEE11117,Digital Systems Laboratory (MSc),Dr Alister Hamilton,pg,10.0,Semester 2,0,100,0
PGEE10023,"CDT-ISM, credits awarded at U of Glasgow, semester 1, Circuits and systems",Prof Ian Underwood,pg,10.0,Semester 1,100,0,0
PGEE11215,Geometric Computing (MSc),Prof Jonathan Corney,pg,10.0,Semester 2,0,100,0
PGEE11175,Machine Learning in Signal Processing (MSc),Prof Sotirios Tsaftaris,pg,10.0,Semester 2,100,0,0
PGEE11182,Advanced Power Engineering Dissertation,Dr Aristides Kiprakis,pg,120.0,Full Year,0,100,0
PGEE11188,Materials and Structures for Offshore Renewables (IDCORE),Dr Edward McCarthy,pg,10.0,Full Year,0,100,0
PGEE11138,Fire Science Laboratory (IMFSE),Dr Rory Hadden,pg,18.0,Semester 1,0,100,0
PGEE11232,Advanced Composite Materials (MSc),Dr Dongmin Yang,pg,20.0,Full Year,0,100,0
PGEE11217,Digital Design and Manufacture Dissertation,Dr Sam Tammas-Williams,pg,60.0,Block 5 (Sem 2) and beyond,0,100,0
PGEE11102,"Electricity Network Interaction, Integration and Control (IDCORE)",Prof Robin Wallace,pg,10.0,Semester 2,-,-,-
PGEE11098,Structural Behaviour of Offshore Renewable Energy Devices (IDCORE),Prof David Ingram,pg,10.0,Semester 2,-,-,-
PGEE11185,Biotechnology and Bioprocess Engineering (MSc),Dr Simone Dimartino,pg,10.0,Semester 2,100,0,0
PGEE11021,Image Processing,Dr Javier Escudero Rodriguez,pg,10.0,Semester 1,0,100,0
PGEE10018,Discrete-time Signal Analysis (MSc),Dr Javier Escudero Rodriguez,pg,10.0,Semester 1,0,100,0
PGEE11226,Further Fire Science (IMFSE),Dr Rory Hadden,pg,18.0,Semester 1,60,40,0
PGEE10035,Bio-Inspired Engineering (MSc),Dr Katherine Dunn,pg,10.0,Semester 2,0,100,0
PGEE11097,Innovation Design and Manufacturing Management (IDCORE),Dr Frank Mill,pg,10.0,Full Year,-,-,-
PGEE11151,Advanced Chemical Engineering Dissertation (MSc),Dr Dimitrios Gerogiorgis,pg,60.0,Block 5 (Sem 2) and beyond,0,100,0
